name,rating,review_text,aspect1,aspect2,aspect3,idx,mecab_token,komoran_token,okt_token
행복을 전하는 월류원,1,한 달 사용기 잘못 구매한 거 같아요 아 닌 거 같아요,none,,,180531,"['한', '달', '사용', '잘못', '구매', '한', '거', '같', '닌', '거', '같']","['한', '달', '사용', '이', '잘못', '구매', '거', '같', '니', '거', '같']","['한', '달', '사', '용기', '잘못', '구매', '한', '거', '같아요', '아', '닌', '거', '같아요']"
장희도가,3,한 달 사용기 지인 이 깔끔하고 맛있다고 하시네요,abstract_flavor_smell,,,241860,"['한', '달', '사', '용기', '지인', '이', '깔끔', '맛있', '하']","['한', '달', '사용', '이', '지인', '이', '깔끔', '맛있', '하']","['한', '달', '사', '용기', '지인', '이', '깔끔하고', '맛있다고', '하시네요']"
복순도가,1,재구매 5번째 먹는데 한결같이 부드럽게 넘어가는 맛에 술이 약한데도 부담이 없어 주위에 추천하기도 했어요 그런데 이번 술은 가스 빼는 시간도 상대적으로 시간이 오래 걸렸고 시큼하고 텁텁한 맛이 너무 강하여 먹기가 너무 힘듭니다 날이 더워서 시큼한 것인지 유효 날짜도 8월 20일까지인데 막걸리 술어 너무 긴 것은 아닌지,specific_flavor_smell,abstract_flavor_smell,,34513,"['재', '구매', '5', '번', '먹', '한결같이', '부드럽', '넘어가', '맛', '술', '약한', '데', '부담', '없', '주위', '추천', '했', '이번', '술', '가스', '빼', '시간', '상대', '시간', '오래', '걸렸', '시큼', '텁텁', '한', '맛', '너무', '강하', '먹', '너무', '힘듭니다', '날', '더워서', '시큼', '한', '것', '인지', '유효', '날짜', '8', '월', '20', '일', '인데', '막걸리', '술어', '너무', '긴', '것', '아닌지']","['재', '구매', '5', '번', '먹', '한결같이', '부드럽', '넘어가', '맛', '술', '약하', '부담', '없', '주위', '추천', '하', '이번', '술', '가스', '빼', '시간', '상대', '시간', '오래', '걸리', '시큼', '텁텁', '맛', '너무', '강하', '먹', '너무', '힘들', '날', '덥', '시큼', '것', '이', '유효', '날짜', '8월 20일', '이', '막걸리', '술어', '너무', '길', '것', '아니']","['재구매', '5', '번째', '먹는데', '한결같이', '부드럽게', '넘어가는', '맛', '에', '술', '이', '약한데도', '부담', '이', '없어', '주위', '에', '추천', '하기도', '했어요', '그런데', '이번', '술', '은', '가스', '빼는', '시간', '도', '상대', '적', '으로', '시간', '이', '오래', '걸렸고', '시큼하고', '텁텁', '한', '맛', '이', '너무', '강하여', '먹기', '가', '너무', '힘듭니다', '날', '이', '더워서', '시큼한', '것', '인지', '유효', '날짜', '도', '8월', '20일', '까지인데', '막걸리', '술어', '너무', '긴', '것', '은', '아닌지']"
복순도가,5,스파클링 와인 같은 느낌이오 저는 맛있는데 연세 있으신 부모님은 안 맞는다고 하시네 ㅋㅋ,specific_flavor_smell,,,42375,"['스파클', '와인', '같', '느낌', '이', '저', '맛있', '연세', '있', '으신', '부모', '안', '맞', '하']","['스파크', '링', '와인', '같', '느낌', '이오', '저', '맛있', '연세', '있', '부모', '안', '맞', '하']","['스파클링', '와인', '같은', '느낌', '이오', '저', '는', '맛있는데', '연세', '있으신', '부모님', '은', '안', '맞는다고', '하시네']"
복순도가,2,많이 기대하고 받았습니다 가격이 막걸리치고는 고가이니까요 그런데 맛을 보고 너무 달다 싶어서 성분을 보니 아스파 탐문 엿 설탕 등달지 않을 수가 없게 만들었네요 다른 막걸리와 다르게 전통적인 방식으로 시간을 들여 만드는 만큼 성분에도 신경을 썼으면 좋았을 텐데요 요즘 단맛에 익숙해진 사람들이야 맛있다고 호평하겠지만 전통주를 기대하고 마셨던 저로서는 실망했네요,specific_flavor_smell,price,,45477,"['많이', '기대', '받', '가격', '막걸리', '치', '고가', '이', '맛', '보', '너무', '달', '싶', '성분', '보', '아스', '파', '탐문', '엿', '설탕', '등', '달', '않', '수', '없', '만들', '다른', '막걸리', '다르', '전통', '인', '방식', '시간', '들여', '만드', '만큼', '성분', '신경', '썼', '좋', '텐데요', '요즘', '단맛', '익숙', '해진', '사람', '맛있', '호평', '전통주', '기대', '마셨', '저', '실망', '했']","['많이', '기대', '받', '가격', '막걸리', '고가', '이', '맛', '보', '너무', '달', '싶', '성분', '보니', '아', '스파', '탐문', '엿', '설탕', '등', '달', '않', '수', '없', '만들', '다른', '막걸리', '다르', '전통', '이', '방식', '시간', '들이', '만들', '만큼', '성분', '신경', '쓰', '좋', '텐', '데', '요즘', '단맛', '익숙', '지', '사람', '맛있', '호평', '전통주', '기대', '마시', '저', '실망']","['많이', '기대하고', '받았습니다', '가격', '이', '막걸리', '치고는', '고가', '이니까', '요', '그런데', '맛', '을', '보고', '너무', '달다', '싶어서', '성분', '을', '보니', '아스', '파', '탐', '문', '엿', '설탕', '등달', '지', '않을', '수가', '없게', '만들었네요', '다른', '막걸리', '와', '다르게', '전통', '적', '인', '방식', '으로', '시간', '을', '들여', '만드는', '만큼', '성분', '에도', '신경', '을', '썼으면', '좋았을', '텐데요', '요즘', '단맛', '에', '익숙해진', '사람', '들', '이야', '맛있다고', '호평', '하겠지만', '전통주', '를', '기대하고', '마셨던', '저', '로서', '는', '실망했네요']"
문배술,4,선물 드렸는데 받는 분이 좋아하셔서 다행이에요,none,,,230384,"['선물', '드렸', '받', '분', '좋', '하', '셔서', '다행', '이']","['선물', '드리', '받', '분이', '좋아하', '다행', '이']","['선물', '드렸는데', '받는', '분', '이', '좋아하셔서', '다행', '이에요']"
이상재명가 한산소곡주,3,재구매 재구매합니다 좋아요,none,,,131617,"['재', '구매', '재', '구매', '합니다', '좋']","['재', '구매', '재', '구매', '좋']","['재구매', '재구매', '합니다', '좋아요']"
박재서 안동소주,5,명절 선물용으로 구입하였습니다 안동소주 유명한 건 다 아실 듯하고 저도 후기 읽어보고 바로 구입했습니다 명장이 만드신 거라 더욱 믿음이 갑니다,none,,,81314,"['명절', '선물', '구입', '안동소주', '유명', '한', '건', '다', '아실', '듯', '저', '후기', '읽', '보', '바로', '구입', '했', '명장', '만드신', '거', '라', '더욱', '믿음', '갑니다']","['명절', '선물', '구입', '안동소주', '유명', '건', '다', '알', '듯', '저', '후기', '읽', '보', '바로', '구입', '명장', '만들', '걸', '더욱', '믿음', '가']","['명절', '선물', '용', '으로', '구입', '하였습니다', '안동소주', '유명한', '건', '다', '아실', '듯', '하고', '저', '도', '후기', '읽어', '보고', '바로', '구입', '했습니다', '명장', '이', '만드신', '거', '라', '더욱', '믿음', '이', '갑니다']"
고창선운산복분자주,1,블루베리 시켰는데 복분자 왔어요,package,,,179505,"['블루베리', '시켰', '복분자', '왔어요']","['블루베리', '시키', '복', '분자', '오']","['블루베리', '시켰는데', '복분자', '왔어요']"
고창명산품복분자주,5,구성비 최고입니다 맛은 엄청 훌륭합니다 무조건 재구매합니다,abstract_flavor_smell,,,67997,"['구성비', '최고', '입니다', '맛', '엄청', '훌륭', '합니다', '무조건', '재', '구매', '합니다']","['구성비', '최고', '이', '맛', '엄청', '훌륭', '무조건', '재', '구매']","['구', '성비', '최고', '입니다', '맛', '은', '엄청', '훌륭합니다', '무조건', '재구매', '합니다']"
